bowler,runs_conceded,balls,wickets,dot_balls,high_economy,high_dot_pct,high_wkt_rate,low_economy,economy_change,econ_score,dot_score,wkt_score,pressure_bowling_score
A Mishra,605,434,43,157,8.36,36.2,0.594,6.77,1.59,0.5616438356164384,0.7869822485207103,0.5345699831365935,0.634
A Nehra,578,408,51,131,8.5,32.1,0.75,7.59,0.91,0.6947162426614482,0.5443786982248522,0.7976391231028668,0.668
A Nortje,616,343,19,107,10.78,31.2,0.332,8.87,1.91,0.4990215264187867,0.4911242603550296,0.0927487352445193,0.395
AB Dinda,545,309,29,85,10.58,27.5,0.563,7.58,3.0,0.2857142857142858,0.2721893491124261,0.4822934232715007,0.33
AD Russell,750,450,49,146,10.0,32.4,0.653,8.97,1.03,0.6712328767123288,0.5621301775147929,0.634064080944351,0.624
AR Patel,545,419,22,141,7.8,33.7,0.315,7.73,0.07,0.8590998043052838,0.63905325443787,0.0640809443507587,0.583
Arshdeep Singh,912,545,50,161,10.04,29.5,0.55,8.76,1.28,0.6223091976516635,0.3905325443786982,0.4603709949409781,0.501
Avesh Khan,921,559,43,162,9.89,29.0,0.462,9.19,0.7,0.735812133072407,0.3609467455621302,0.311973018549747,0.499
B Kumar,1839,1128,97,301,9.78,26.7,0.516,6.46,3.32,0.2230919765166341,0.2248520710059172,0.4030354131534571,0.269
B Lee,374,260,12,77,8.63,29.6,0.277,7.21,1.42,0.5949119373776908,0.3964497041420121,0.0,0.377
CH Morris,676,480,50,141,8.45,29.4,0.625,7.64,0.81,0.7142857142857143,0.3846153846153846,0.5868465430016865,0.567
CV Varun,538,417,34,163,7.74,39.1,0.489,7.95,-0.21,0.913894324853229,0.9585798816568049,0.357504215851602,0.79
DJ Bravo,1923,1244,111,369,9.27,29.7,0.535,7.68,1.59,0.5616438356164384,0.4023668639053255,0.4350758853288365,0.474
DS Kulkarni,449,263,20,81,10.24,30.8,0.456,7.69,2.55,0.3737769080234834,0.4674556213017753,0.3018549747048903,0.389
DW Steyn,641,431,41,142,8.92,32.9,0.571,6.25,2.67,0.350293542074364,0.5917159763313609,0.4957841483979763,0.471
HH Pandya,460,240,25,68,11.5,28.3,0.625,9.41,2.09,0.4637964774951078,0.319526627218935,0.5868465430016865,0.444
HV Patel,1249,763,84,251,9.82,32.9,0.661,8.68,1.14,0.6497064579256361,0.5917159763313609,0.6475548060708265,0.629
Harbhajan Singh,382,332,31,132,6.9,39.8,0.56,7.27,-0.37,0.9452054794520548,1.0,0.4772344013490726,0.847
I Sharma,605,316,17,78,11.49,24.7,0.323,7.67,3.82,0.1252446183953033,0.106508875739645,0.0775716694772344,0.107
IK Pathan,471,313,33,85,9.03,27.2,0.633,7.27,1.76,0.528375733855186,0.2544378698224852,0.600337268128162,0.45
JA Morkel,350,229,31,63,9.17,27.5,0.812,8.23,0.94,0.6888454011741683,0.2721893491124261,0.9021922428330524,0.596
JC Archer,605,385,28,116,9.43,30.1,0.436,7.16,2.27,0.4285714285714286,0.42603550295858,0.2681281618887015,0.388
JD Unadkat,902,504,55,152,10.74,30.2,0.655,7.89,2.85,0.3150684931506848,0.4319526627218935,0.6374367622259698,0.437
JH Kallis,388,228,19,63,10.21,27.6,0.5,7.53,2.68,0.3483365949119374,0.2781065088757397,0.3760539629005059,0.331
JJ Bumrah,1382,1068,98,371,7.76,34.7,0.551,6.97,0.79,0.7181996086105675,0.6982248520710064,0.4620573355817876,0.647
JO Holder,472,314,36,98,9.02,31.2,0.688,8.1,0.92,0.6927592954990216,0.4911242603550296,0.6930860033726813,0.622
JP Faulkner,591,340,32,78,10.43,22.9,0.565,8.11,2.32,0.4187866927592956,0.0,0.4856661045531197,0.289
JR Hazlewood,420,265,27,91,9.51,34.3,0.611,7.9,1.61,0.5577299412915852,0.6745562130177514,0.5632377740303542,0.6
K Rabada,846,521,61,176,9.74,33.8,0.702,8.9,0.84,0.7084148727984345,0.6449704142011834,0.7166947723440136,0.688
KH Pandya,317,224,15,76,8.49,33.9,0.402,7.54,0.95,0.6868884540117417,0.6508875739644973,0.2107925801011804,0.555
KK Ahmed,628,345,33,108,10.92,31.3,0.574,8.34,2.58,0.3679060665362035,0.4970414201183433,0.5008431703204046,0.446
Kuldeep Yadav,484,347,33,120,8.37,34.6,0.571,9.02,-0.65,1.0,0.6923076923076925,0.4957841483979763,0.766
L Balaji,674,430,35,116,9.4,27.0,0.488,7.4,2.0,0.4814090019569472,0.2426035502958581,0.3558178752107926,0.366
LH Ferguson,405,235,17,70,10.34,29.8,0.434,9.03,1.31,0.6164383561643836,0.4082840236686391,0.2647554806070826,0.456
M Morkel,324,234,22,76,8.31,32.5,0.564,7.45,0.86,0.7045009784735812,0.5680473372781065,0.4839797639123102,0.602
M Muralitharan,306,226,20,86,8.12,38.1,0.531,6.68,1.44,0.5909980430528377,0.8994082840236688,0.4283305227655987,0.658
M Prasidh Krishna,769,445,44,166,10.37,37.3,0.593,9.02,1.35,0.6086105675146771,0.8520710059171597,0.5328836424957841,0.675
MA Starc,519,338,49,116,9.21,34.3,0.87,8.88,0.33,0.8082191780821918,0.6745562130177514,1.0000000000000002,0.809
MG Johnson,439,279,21,107,9.44,38.4,0.452,8.14,1.3,0.6183953033268101,0.9171597633136096,0.2951096121416526,0.642
MJ McClenaghan,465,275,20,85,10.15,30.9,0.436,7.8,2.35,0.4129158512720157,0.4733727810650887,0.2681281618887015,0.398
MM Patel,461,272,27,83,10.17,30.5,0.596,6.96,3.21,0.2446183953033269,0.4497041420118344,0.5379426644182126,0.39
MM Sharma,1177,697,70,197,10.13,28.3,0.603,8.19,1.94,0.4931506849315068,0.319526627218935,0.5497470489038787,0.447
Mohammed Shami,926,512,54,139,10.85,27.1,0.633,7.79,3.06,0.273972602739726,0.2485207100591717,0.600337268128162,0.347
Mohammed Siraj,1060,615,37,194,10.34,31.5,0.361,7.77,2.57,0.3698630136986303,0.5088757396449706,0.1416526138279932,0.361
Mukesh Kumar,471,236,26,62,11.97,26.3,0.661,9.12,2.85,0.3150684931506848,0.2011834319526628,0.6475548060708265,0.358
Mustafizur Rahman,684,447,36,144,9.18,32.2,0.483,7.68,1.5,0.5792563600782779,0.5502958579881658,0.3473861720067453,0.511
NM Coulter-Nile,345,215,23,69,9.63,32.1,0.642,6.8,2.83,0.3189823874755382,0.5443786982248522,0.615514333895447,0.472
P Kumar,686,402,32,98,10.24,24.4,0.478,6.99,3.25,0.2367906066536205,0.0887573964497041,0.3389544688026981,0.211
PJ Cummins,568,351,25,107,9.71,30.5,0.427,8.79,0.92,0.6927592954990216,0.4497041420118344,0.2529510961214165,0.498
PP Chawla,707,475,38,158,8.93,33.3,0.48,8.07,0.86,0.7045009784735812,0.6153846153846152,0.3423271500843169,0.583
PP Ojha,284,203,17,61,8.39,30.0,0.502,7.68,0.71,0.7338551859099804,0.4201183431952664,0.3794266441821248,0.535
R Ashwin,809,620,36,199,7.83,32.1,0.348,7.12,0.71,0.7338551859099804,0.5443786982248522,0.1197301854974704,0.514
R Vinay Kumar,926,531,51,139,10.46,26.2,0.576,7.58,2.88,0.3091976516634052,0.1952662721893492,0.5042158516020236,0.318
RA Jadeja,789,598,46,214,7.92,35.8,0.462,8.0,-0.08,0.888454011741683,0.7633136094674557,0.311973018549747,0.701
RD Chahar,275,204,12,74,8.09,36.3,0.353,8.68,-0.59,0.9882583170254404,0.7928994082840237,0.1281618887015176,0.705
RP Singh,660,412,47,126,9.61,30.6,0.684,7.39,2.22,0.4383561643835616,0.455621301775148,0.6863406408094437,0.506
Rashid Khan,897,641,51,238,8.4,37.1,0.477,7.2,1.2,0.6379647749510764,0.8402366863905328,0.3372681281618887,0.634
Ravi Bishnoi,457,258,20,88,10.63,34.1,0.465,8.08,2.55,0.3737769080234834,0.6627218934911245,0.3170320404721754,0.461
S Kaul,478,318,27,91,9.02,28.6,0.509,9.18,-0.16,0.904109589041096,0.3372781065088759,0.3912310286677909,0.577
SK Trivedi,374,269,23,91,8.34,33.8,0.513,8.14,0.2,0.8336594911937378,0.6449704142011834,0.3979763912310287,0.659
SL Malinga,1136,891,103,299,7.65,33.6,0.694,6.83,0.82,0.7123287671232876,0.6331360946745563,0.703204047217538,0.682
SM Curran,561,264,28,66,12.75,25.0,0.636,8.29,4.46,0.0,0.1242603550295857,0.6053962900505903,0.195
SN Thakur,1094,613,47,189,10.71,30.8,0.46,9.32,1.39,0.6007827788649707,0.4674556213017753,0.3086003372681282,0.481
SP Narine,1132,930,75,354,7.3,38.1,0.484,7.19,0.11,0.8512720156555773,0.8994082840236688,0.3490725126475547,0.743
SR Watson,696,421,37,133,9.92,31.6,0.527,7.15,2.77,0.3307240704500978,0.5147928994082842,0.421585160202361,0.418
Sandeep Sharma,1161,643,50,160,10.83,24.9,0.467,6.9,3.93,0.1037181996086105,0.1183431952662721,0.3204047217537943,0.163
T Natarajan,859,526,43,147,9.8,27.9,0.49,8.33,1.47,0.5851272015655578,0.2958579881656804,0.3591905564924114,0.427
TA Boult,996,574,53,160,10.41,27.9,0.554,7.35,3.06,0.273972602739726,0.2958579881656804,0.4671163575042159,0.33
TG Southee,457,263,21,66,10.43,25.1,0.479,8.15,2.28,0.426614481409002,0.1301775147928996,0.3406408094435075,0.301
TU Deshpande,517,259,29,76,11.98,29.3,0.672,8.5,3.48,0.1917808219178083,0.3786982248520711,0.6661045531197303,0.376
UT Yadav,1013,562,54,142,10.81,25.3,0.577,8.03,2.78,0.3287671232876712,0.1420118343195267,0.5059021922428331,0.308
YS Chahal,995,668,61,214,8.94,32.0,0.548,7.85,1.09,0.6594911937377691,0.5384615384615385,0.4569983136593593,0.567
Yash Dayal,342,212,19,65,9.68,30.7,0.538,9.23,0.45,0.7847358121330724,0.4615384615384617,0.4401349072512648,0.585
Z Khan,646,440,35,108,8.81,24.5,0.477,6.96,1.85,0.5107632093933464,0.0946745562130177,0.3372681281618887,0.322
